Year,MotorVehicleKms,FatalAccidents,Fatalities,Group,FatalAccMotorKm,FatalitiesMotorKm,FatalitiesAccident
1969,192.6,6768,7365,1,35.140186916,38.239875389,1.0882092199
1970,200.5,6879,7499,1,34.309226933,37.401496259,1.0901293793
1971,212,7015,7699,1,33.089622642,36.316037736,1.0975053457
1972,222.5,7109,7763,1,31.950561798,34.88988764,1.0919960613
1973,234,6771,7406,2,28.935897436,31.64957265,1.0937823069
1974,229.8,6336,6883,2,27.571801567,29.952132289,1.0863320707
1975,231.7,5831,6366,2,25.166163142,27.475183427,1.0917509861
1976,243.5,6009,6570,2,24.67761807,26.981519507,1.0933599601
1977,246.9,6089,6614,3,24.661806399,26.78817335,1.0862210544
1978,256.5,6297,6831,3,24.549707602,26.631578947,1.0848022868
1979,255.9,5824,6352,3,22.758890191,24.82219617,1.0906593407
1980,271.9,5560,6010,3,20.448694373,22.103714601,1.0809352518
1981,276.9,5355,5846,4,19.339111593,21.112314915,1.0916900093
1982,284.5,5447,5934,4,19.145869947,20.857644991,1.089407013
1983,288.1,5027,5445,4,17.448802499,18.899687608,1.0831509847
1984,303.1,5138,5599,4,16.951501155,18.472451336,1.0897236279
1985,309.7,4768,5165,5,15.395544075,16.677429771,1.0832634228
1986,325.3,4895,5382,5,15.047648325,16.544727943,1.0994892748
1987,350.5,4694,5125,5,13.392296719,14.621968616,1.0918193438
1988,375.7,4643,5052,5,12.358264573,13.446899122,1.0880895972
1989,406.9,4907,5373,6,12.059474072,13.204718604,1.0949663746
1990,410.8,4748,5217,6,11.557935735,12.699610516,1.098778433
1991,411.6,4158,4568,6,10.102040816,11.098153547,1.0986050986
1992,412.1,3855,4229,6,9.3545256006,10.262072313,1.0970168612
1993,412.2,3470,3814,7,8.4182435711,9.2527899078,1.0991354467
1994,422.6,3326,3650,7,7.8703265499,8.637008992,1.0974143115
1995,430.9,3286,3621,7,7.6258992806,8.4033418427,1.1019476567
1996,442.5,3274,3598,7,7.3988700565,8.1310734463,1.098961515
1997,452.5,3298,3599,8,7.2883977901,7.9535911602,1.0912674348
1998,459.2,3137,3421,8,6.831445993,7.449912892,1.0905323558
1999,467,3138,3423,8,6.7194860814,7.329764454,1.0908221797
2000,468.7,3108,3409,8,6.6311073181,7.273309153,1.0968468468
